You entered a buffer length of 20
0.388971, -0.244011, 0.878326; 0.391528, -0.244013, 0.874950; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.395119, -0.256440, 0.884578; 0.393323, -0.250226, 0.879764; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.395119, -0.256440, 0.872073; 0.394221, -0.253333, 0.875918; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.401266, -0.250225, 0.878326; 0.397743, -0.251779, 0.877121; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.407414, -0.244011, 0.890831; 0.402579, -0.247895, 0.883976; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.413562, -0.237796, 0.903336; 0.408070, -0.242845, 0.893655; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.419710, -0.225367, 0.915841; 0.413890, -0.234106, 0.904748; 0.000000, 0.419710; -0.281298, 0.000000; 0.000000, 1.103417
0.425858, -0.212938, 0.928346; 0.419873, -0.223522, 0.916546; 0.000000, 0.425858; -0.281298, 0.000000; 0.000000, 1.103417
0.432005, -0.212938, 0.934599; 0.425939, -0.218230, 0.925572; 0.000000, 0.432005; -0.281298, 0.000000; 0.000000, 1.103417
0.432005, -0.206724, 0.947104; 0.428972, -0.212477, 0.936337; 0.000000, 0.432005; -0.281298, 0.000000; 0.000000, 1.103417
0.438153, -0.200510, 0.953356; 0.433562, -0.206493, 0.944846; 0.000000, 0.438153; -0.281298, 0.000000; 0.000000, 1.103417
0.444301, -0.200510, 0.965861; 0.438932, -0.203501, 0.955353; 0.000000, 0.444301; -0.281298, 0.000000; 0.000000, 1.103417
0.456597, -0.200510, 0.965861; 0.447764, -0.202005, 0.960607; 0.000000, 0.456597; -0.281298, 0.000000; 0.000000, 1.103417
0.462744, -0.200510, 0.972114; 0.455254, -0.201257, 0.966360; 0.000000, 0.462744; -0.281298, 0.000000; 0.000000, 1.103417
0.481188, -0.200510, 0.984619; 0.468221, -0.200883, 0.975489; 0.000000, 0.481188; -0.281298, 0.000000; 0.000000, 1.103417
0.493483, -0.200510, 0.990871; 0.480852, -0.200696, 0.983180; 0.000000, 0.493483; -0.281298, 0.000000; 0.000000, 1.103417
0.505779, -0.200510, 0.997124; 0.493315, -0.200603, 0.990151; 0.000000, 0.505779; -0.281298, 0.000000; 0.000000, 1.103417
0.518075, -0.200510, 1.003376; 0.505695, -0.200556, 0.996764; 0.000000, 0.518075; -0.281298, 0.000000; 0.000000, 1.103417
0.530370, -0.206724, 1.003376; 0.518032, -0.203640, 1.000070; 0.000000, 0.530370; -0.281298, 0.000000; 0.000000, 1.103417
