You entered a buffer length of 100
0.038547, 0.097785, 1.097165; 0.038570, 0.097641, 1.096285; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.097165; 0.041632, 0.097713, 1.096725; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.097165; 0.043163, 0.097749, 1.096945; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.040855, 0.097767, 1.097055; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.039701, 0.100883, 1.097110; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.039124, 0.102441, 1.097137; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.032399, 0.103999, 1.090912; 0.035761, 0.103220, 1.094025; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.032399, 0.103999, 1.097165; 0.034080, 0.103609, 1.095595; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.036313, 0.103804, 1.096380; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.037430, 0.103902, 1.093646; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.037988, 0.103950, 1.095405; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038268, 0.100867, 1.096285; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.038407, 0.099326, 1.093599; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.097165; 0.041551, 0.098555, 1.095382; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.040049, 0.101277, 1.096273; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.039298, 0.102638, 1.096719; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.103417; 0.038922, 0.100211, 1.100068; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038734, 0.102105, 1.098616; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.103417; 0.038641, 0.099945, 1.101017; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038594, 0.101972, 1.095964; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.038570, 0.099878, 1.093438; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.032399, 0.097785, 1.090912; 0.035484, 0.098831, 1.092175; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
