You entered a buffer length of 100
-0.846736, -0.529876, 2.510239; -0.840157, -0.499982, 2.468474; -0.846736, 0.413562; -0.529876, 0.290433; -1.028699, 2.510239
-0.859031, -0.567163, 2.516491; -0.849594, -0.533572, 2.492483; -0.859031, 0.413562; -0.567163, 0.290433; -1.028699, 2.516491
-0.871327, -0.610664, 2.522744; -0.860460, -0.572118, 2.507613; -0.871327, 0.413562; -0.610664, 0.290433; -1.028699, 2.522744
-0.877475, -0.654165, 2.522744; -0.868967, -0.613142, 2.515179; -0.877475, 0.413562; -0.654165, 0.290433; -1.028699, 2.522744
-0.871327, -0.697667, 2.528996; -0.870147, -0.655404, 2.522088; -0.877475, 0.413562; -0.697667, 0.290433; -1.028699, 2.528996
-0.865179, -0.741168, 2.535249; -0.867663, -0.698286, 2.528668; -0.877475, 0.413562; -0.741168, 0.290433; -1.028699, 2.535249
-0.846736, -0.784669, 2.528996; -0.857199, -0.741477, 2.528832; -0.877475, 0.413562; -0.784669, 0.290433; -1.028699, 2.535249
-0.834440, -0.834385, 2.528996; -0.845820, -0.787931, 2.528914; -0.877475, 0.413562; -0.834385, 0.290433; -1.028699, 2.535249
-0.809849, -0.896529, 2.528996; -0.827834, -0.842230, 2.528955; -0.877475, 0.413562; -0.896529, 0.290433; -1.028699, 2.535249
-0.785258, -0.952459, 2.528996; -0.806546, -0.897345, 2.528976; -0.877475, 0.413562; -0.952459, 0.290433; -1.028699, 2.535249
-0.766814, -1.002175, 2.528996; -0.786680, -0.949760, 2.528986; -0.877475, 0.413562; -1.002175, 0.290433; -1.028699, 2.535249
-0.748371, -1.045676, 2.528996; -0.767525, -0.997718, 2.528991; -0.877475, 0.413562; -1.045676, 0.290433; -1.028699, 2.535249
-0.736075, -1.082963, 2.528996; -0.751800, -1.040341, 2.528994; -0.877475, 0.413562; -1.082963, 0.290433; -1.028699, 2.535249
-0.723780, -1.107821, 2.528996; -0.737790, -1.074081, 2.528995; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.717632, -1.107821, 2.528996; -0.727711, -1.090951, 2.528996; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.699189, -1.095392, 2.528996; -0.713450, -1.093171, 2.528996; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.680745, -1.076749, 2.528996; -0.697097, -1.084960, 2.528996; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.662302, -1.051891, 2.528996; -0.679700, -1.068425, 2.528996; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.625415, -1.014604, 2.535249; -0.652557, -1.041515, 2.532123; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.600824, -0.964888, 2.528996; -0.626691, -1.003202, 2.530560; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.563937, -0.933816, 2.528996; -0.595314, -0.968509, 2.529778; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
-0.527050, -0.896529, 2.528996; -0.561182, -0.932519, 2.529387; -0.877475, 0.413562; -1.107821, 0.290433; -1.028699, 2.535249
